"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.652015923E0,4.620809078E0,-1.005564690E0,8.497021675E0
2.654015923E0,4.611232281E0,-9.888052940E-1,8.528146744E0
2.656015923E0,4.592078686E0,-9.792284966E-1,8.540117264E0
2.658015923E0,4.560954094E0,-9.696516991E-1,8.559270859E0
2.660015923E0,4.551377296E0,-9.265560508E-1,8.566453934E0
2.662015923E0,4.551377296E0,-9.002198577E-1,8.590395927E0
2.664015923E0,4.548983097E0,-8.738836050E-1,8.604761124E0
2.666015923E0,4.548983097E0,-8.499416113E-1,8.611943245E0
2.668015923E0,4.575319290E0,-8.236053586E-1,8.626308441E0
2.670015923E0,4.618414879E0,-8.020575643E-1,8.635885239E0
2.672015923E0,4.632780075E0,-7.948749661E-1,8.633491516E0
2.674015923E0,4.644751072E0,-8.068459630E-1,8.626308441E0
2.676015923E0,4.656722069E0,-8.068459630E-1,8.611943245E0
2.678015923E0,4.721365929E0,-8.140285611E-1,8.588001251E0
2.680015923E0,4.730942726E0,-8.092401624E-1,8.568847656E0
2.682015923E0,4.754884720E0,-8.140285611E-1,8.561665535E0
2.684015923E0,4.754884720E0,-8.140285611E-1,8.561665535E0
2.686015923E0,4.819528103E0,-8.379706144E-1,8.542511940E0
2.688015923E0,4.821922302E0,-8.523358107E-1,8.542511940E0
2.690015923E0,4.821922302E0,-8.643068075E-1,8.549694061E0
2.692015923E0,4.826710701E0,-8.858546019E-1,8.549694061E0
2.694015923E0,4.829104900E0,-9.002198577E-1,8.552088737E0
2.696015923E0,4.817133904E0,-9.289502501E-1,8.544905663E0
2.698015923E0,4.819528103E0,-9.385270476E-1,8.552088737E0
2.700015923E0,4.821922302E0,-9.552865028E-1,8.544905663E0
2.702015923E0,4.817133904E0,-9.672574997E-1,8.535328865E0
2.704015923E0,4.809951305E0,-9.624691010E-1,8.556877136E0
2.706015923E0,4.805162907E0,-9.600749016E-1,8.559270859E0
2.708015923E0,4.800374508E0,-9.648633003E-1,8.540117264E0
2.710015923E0,4.807557106E0,-9.576807022E-1,8.523358345E0
2.712015923E0,4.805162907E0,-9.504981041E-1,8.511386871E0
2.714015923E0,4.795586109E0,-9.504981041E-1,8.492233276E0
2.716015923E0,4.797980309E0,-9.313444495E-1,8.461109161E0
2.718015923E0,4.797980309E0,-9.217676520E-1,8.453926086E0
2.720015923E0,4.805162907E0,-9.002198577E-1,8.458714485E0
2.722015923E0,4.795586109E0,-8.786720037E-1,8.441955566E0
2.724015923E0,4.800374508E0,-8.714894056E-1,8.437167168E0
2.726015923E0,4.807557106E0,-8.499416113E-1,8.461109161E0
2.728015923E0,4.797980309E0,-8.307880163E-1,8.475474358E0
2.730015923E0,4.781220913E0,-8.068459630E-1,8.456320763E0
2.732015923E0,4.771644115E0,-7.852981687E-1,8.444349289E0
2.734015923E0,4.750096321E0,-7.805097699E-1,8.444349289E0
2.736015923E0,4.750096321E0,-7.805097699E-1,8.444349289E0
2.738015923E0,4.726154327E0,-7.062895298E-1,8.432378769E0
2.740015923E0,4.714183331E0,-7.015010715E-1,8.427590370E0
2.742015923E0,4.702212334E0,-6.943184733E-1,8.427590370E0
2.744015923E0,4.675876141E0,-6.655880809E-1,8.425195694E0
2.746015923E0,4.680664539E0,-6.536170840E-1,8.437167168E0
2.748015923E0,4.683058739E0,-6.799532771E-1,8.422801971E0
2.750015923E0,4.714183331E0,-6.943184733E-1,8.398859978E0
2.752015923E0,4.733336926E0,-7.038952708E-1,8.398859978E0
2.754015923E0,4.776432514E0,-7.326257229E-1,8.415618896E0
2.756015923E0,4.805162907E0,-7.829039693E-1,8.425195694E0
2.758015923E0,4.874594688E0,-7.972691655E-1,8.425195694E0
2.760015923E0,4.929661274E0,-8.068459630E-1,8.422801971E0
2.762015923E0,4.951209068E0,-7.996633649E-1,8.429984093E0
2.764015923E0,4.955997467E0,-7.781155705E-1,8.444349289E0
2.766015923E0,4.955997467E0,-7.781155705E-1,8.444349289E0
2.768015923E0,4.955997467E0,-7.781155705E-1,8.444349289E0
2.770015923E0,4.920084476E0,-7.398083210E-1,8.497021675E0
2.772015923E0,4.886565685E0,-7.110779285E-1,8.528146744E0
2.774015923E0,4.860229492E0,-7.015010715E-1,8.547300339E0
2.776015923E0,4.819528103E0,-6.895300746E-1,8.571242332E0
2.778015923E0,4.788403511E0,-6.703764796E-1,8.595184326E0
2.780015923E0,4.778826714E0,-6.560112834E-1,8.616731644E0
2.782015923E0,4.766855717E0,-6.344634295E-1,8.640673637E0
2.784015923E0,4.735731125E0,-6.033388376E-1,8.638279915E0
2.786015923E0,4.721365929E0,-5.817909837E-1,8.643068314E0
2.788015923E0,4.704606533E0,-5.722141862E-1,8.676587105E0
2.790015923E0,4.707000732E0,-5.195417404E-1,8.690952301E0
2.792015923E0,4.702212334E0,-5.099649429E-1,8.695740700E0
2.794015923E0,4.666299343E0,-5.051765442E-1,8.702922821E0
2.796015923E0,4.663905144E0,-5.027823448E-1,8.714894295E0
2.798015923E0,4.668693542E0,-4.932055473E-1,8.724471092E0
2.800015923E0,4.661510944E0,-4.548983276E-1,8.753201485E0
2.802015923E0,4.656722069E0,-4.453215301E-1,8.765172005E0
2.804015923E0,4.630385876E0,-4.501099288E-1,8.777143478E0
2.806015923E0,4.644751072E0,-4.477157295E-1,8.789113998E0
2.808015923E0,4.644751072E0,-4.453215301E-1,8.784325600E0
2.810015923E0,4.654327869E0,-4.333505034E-1,8.781931877E0
2.812015923E0,4.632780075E0,-4.141969085E-1,8.777143478E0
2.814015923E0,4.613626480E0,-4.070142806E-1,8.786720276E0
2.816015923E0,4.572925091E0,-3.998316824E-1,8.774748802E0
2.818015923E0,4.498704910E0,-3.998316824E-1,8.743624687E0
2.820015923E0,4.479551315E0,-4.189853072E-1,8.734047890E0
2.822015923E0,4.465186119E0,-4.285621047E-1,8.702922821E0
2.824015923E0,4.455609322E0,-4.501099288E-1,8.698134422E0
2.826015923E0,4.446032524E0,-4.596867263E-1,8.683769226E0
2.828015923E0,4.481945515E0,-5.075707436E-1,8.683769226E0
2.830015923E0,4.501099110E0,-5.219359994E-1,8.681375504E0
2.832015923E0,4.568136692E0,-5.793967843E-1,8.657433510E0
2.834015923E0,4.625597477E0,-6.153098345E-1,8.623914719E0
2.836015923E0,4.671087742E0,-6.392518282E-1,8.602366447E0
2.838015923E0,4.747702122E0,-6.847416759E-1,8.532935143E0
2.840015923E0,4.800374508E0,-7.302315235E-1,8.508993149E0
2.842015923E0,4.817133904E0,-7.398083210E-1,8.508993149E0
2.844015923E0,4.855441093E0,-7.685387731E-1,8.482656479E0
2.846015923E0,4.888959885E0,-7.852981687E-1,8.473079681E0
2.848015923E0,4.900930882E0,-8.020575643E-1,8.480262756E0
2.850015923E0,4.900930882E0,-8.020575643E-1,8.480262756E0
2.852015923E0,4.891354084E0,-8.236053586E-1,8.425195694E0
2.854015923E0,4.874594688E0,-8.307880163E-1,8.408436775E0
2.856015923E0,4.862623692E0,-8.595184088E-1,8.439560890E0
2.858015923E0,4.850652695E0,-8.643068075E-1,8.465897560E0
2.860015923E0,4.853046894E0,-8.475474119E-1,8.516175270E0
2.862015923E0,4.829104900E0,-8.571242094E-1,8.540117264E0
2.864015923E0,4.831499100E0,-8.643068075E-1,8.547300339E0
2.866015923E0,4.821922302E0,-8.762778044E-1,8.547300339E0
2.868015923E0,4.819528103E0,-8.499416113E-1,8.489839554E0
2.870015923E0,4.814739704E0,-8.499416113E-1,8.446743965E0
2.872015923E0,4.824316502E0,-8.786720037E-1,8.355764389E0
2.874015923E0,4.836287498E0,-8.834604025E-1,8.295908928E0
2.876015923E0,4.831499100E0,-8.882488012E-1,8.291120529E0
2.878015923E0,4.809951305E0,-9.193734527E-1,8.327033043E0
2.880015923E0,4.807557106E0,-9.457096457E-1,8.334216118E0
2.882015923E0,4.793191910E0,-9.457096457E-1,8.348581314E0
2.884015923E0,4.764461517E0,-9.361328483E-1,8.360552788E0
2.886015923E0,4.718971729E0,-9.241618514E-1,8.394071579E0
2.888015923E0,4.714183331E0,-9.289502501E-1,8.403648376E0
2.890015923E0,4.692635536E0,-9.600749016E-1,8.403648376E0
2.892015923E0,4.680664539E0,-9.624691010E-1,8.389283180E0
2.894015923E0,4.663905144E0,-9.888052940E-1,8.348581314E0
2.896015923E0,4.656722069E0,-9.959878922E-1,8.346187592E0
2.898015923E0,4.661510944E0,-1.010353088E0,8.355764389E0
2.900015923E0,4.663905144E0,-1.041477680E0,8.420407295E0
2.902015923E0,4.656722069E0,-1.074996591E0,8.477868080E0
2.904015923E0,4.649539471E0,-1.084573388E0,8.504204750E0
2.906015923E0,4.635174274E0,-1.077390790E0,8.535328865E0
2.908015923E0,4.639962673E0,-1.070208192E0,8.547300339E0
2.910015923E0,4.632780075E0,-1.067813993E0,8.549694061E0
2.912015923E0,4.618414879E0,-1.048660398E0,8.540117264E0
2.914015923E0,4.618414879E0,-1.048660398E0,8.540117264E0
2.916015923E0,4.654327869E0,-1.041477680E0,8.497021675E0
2.918015923E0,4.738125324E0,-1.019929886E0,8.470685959E0
2.920015923E0,4.738125324E0,-1.019929886E0,8.470685959E0
2.922015923E0,4.759673119E0,-1.019929886E0,8.465897560E0
2.924015923E0,4.793191910E0,-9.983820915E-1,8.477868080E0
2.926015923E0,4.795586109E0,-9.840168953E-1,8.463502884E0
2.928015923E0,4.795586109E0,-9.624691010E-1,8.449137688E0
2.930015923E0,4.821922302E0,-9.241618514E-1,8.432378769E0
2.932015923E0,4.833893299E0,-9.097966552E-1,8.422801971E0
2.934015923E0,4.833893299E0,-9.097966552E-1,8.422801971E0
2.936015923E0,4.874594688E0,-8.954314590E-1,8.415618896E0
2.938015923E0,4.891354084E0,-8.834604025E-1,8.420407295E0
2.940015923E0,4.908113480E0,-8.858546019E-1,8.437167168E0
2.942015923E0,4.924872875E0,-8.882488012E-1,8.451532364E0
2.944015923E0,4.946420670E0,-8.930372596E-1,8.451532364E0
2.946015923E0,4.951209068E0,-8.834604025E-1,8.444349289E0
2.948015923E0,4.932055473E0,-8.882488012E-1,8.439560890E0
2.950015923E0,4.917690277E0,-8.954314590E-1,8.437167168E0
2.952015923E0,4.898536682E0,-8.810662031E-1,8.427590370E0
2.954015923E0,4.881777287E0,-8.762778044E-1,8.420407295E0
2.956015923E0,4.865017891E0,-8.738836050E-1,8.425195694E0
2.958015923E0,4.841075897E0,-8.643068075E-1,8.451532364E0
2.960015923E0,4.817133904E0,-8.595184088E-1,8.461109161E0
2.962015923E0,4.771644115E0,-8.403648138E-1,8.506598473E0
2.964015923E0,4.716577530E0,-8.427590132E-1,8.542511940E0
2.966015923E0,4.716577530E0,-8.427590132E-1,8.542511940E0
2.968015923E0,4.620809078E0,-8.116343617E-1,8.578424454E0
2.970015923E0,4.570530891E0,-7.876923680E-1,8.607154846E0
2.972015923E0,4.563348293E0,-7.781155705E-1,8.631096840E0
2.974015923E0,4.558559895E0,-7.565677166E-1,8.662221909E0
2.976015923E0,4.548983097E0,-7.302315235E-1,8.667010307E0
2.978015923E0,4.560954094E0,-7.086837292E-1,8.667010307E0
2.980015923E0,4.575319290E0,-6.655880809E-1,8.659827232E0
2.982015923E0,4.620809078E0,-6.631938815E-1,8.640673637E0
2.984015923E0,4.639962673E0,-6.679822803E-1,8.621520042E0
2.986015923E0,4.663905144E0,-6.799532771E-1,8.583212852E0
2.988015923E0,4.680664539E0,-6.895300746E-1,8.561665535E0
2.990015923E0,4.702212334E0,-6.895300746E-1,8.530540466E0
2.992015923E0,4.726154327E0,-7.110779285E-1,8.506598473E0
2.994015923E0,4.728548527E0,-7.278373241E-1,8.485051155E0
2.996015923E0,4.762067318E0,-7.589619160E-1,8.453926086E0
2.998015923E0,4.790797710E0,-8.020575643E-1,8.427590370E0
3.000015923E0,4.809951305E0,-8.164227605E-1,8.418013573E0
3.002015923E0,4.833893299E0,-8.499416113E-1,8.389283180E0
3.004015923E0,4.857835293E0,-8.834604025E-1,8.365341187E0
3.006015923E0,4.865017891E0,-9.074024558E-1,8.355764389E0
3.008015923E0,4.872200489E0,-9.385270476E-1,8.348581314E0
3.010015923E0,4.879383087E0,-9.840168953E-1,8.350975990E0
3.012015923E0,4.879383087E0,-1.007958889E0,8.379706383E0
3.014015923E0,4.886565685E0,-1.012747288E0,8.425195694E0
3.016015923E0,4.886565685E0,-1.012747288E0,8.425195694E0
3.018015923E0,4.912901878E0,-1.029506683E0,8.456320763E0
3.020015923E0,4.946420670E0,-1.003170490E0,8.458714485E0
3.022015923E0,4.967968464E0,-9.864110947E-1,8.453926086E0
3.024015923E0,4.991910458E0,-9.648633003E-1,8.456320763E0
3.026015923E0,5.013458252E0,-9.385270476E-1,8.461109161E0
3.028015923E0,5.035006046E0,-9.193734527E-1,8.465897560E0
3.030015923E0,5.035006046E0,-8.667010069E-1,8.487444878E0
3.032015923E0,5.011064053E0,-8.403648138E-1,8.508993149E0
3.034015923E0,4.994304657E0,-8.307880163E-1,8.518569946E0
3.036015923E0,4.955997467E0,-8.188169599E-1,8.532935143E0
3.038015923E0,4.884171486E0,-7.948749661E-1,8.542511940E0
3.040015923E0,4.857835293E0,-7.852981687E-1,8.544905663E0
3.042015923E0,4.809951305E0,-7.637503147E-1,8.542511940E0
3.044015923E0,4.742913723E0,-7.278373241E-1,8.513781548E0
3.046015923E0,4.721365929E0,-7.230489254E-1,8.501810074E0
3.048015923E0,4.671087742E0,-7.158663273E-1,8.508993149E0
3.050015923E0,4.647145271E0,-6.871358752E-1,8.523358345E0
3.052015923E0,4.644751072E0,-6.871358752E-1,8.530540466E0
3.054015923E0,4.651933670E0,-6.607996821E-1,8.547300339E0
3.056015923E0,4.651933670E0,-6.464344859E-1,8.549694061E0
3.058015923E0,4.642356873E0,-6.416460276E-1,8.559270859E0
3.060015923E0,4.642356873E0,-6.440402865E-1,8.578424454E0
3.062015923E0,4.642356873E0,-6.584054828E-1,8.585607529E0
3.064015923E0,4.647145271E0,-6.655880809E-1,8.588001251E0
3.066015923E0,4.632780075E0,-6.607996821E-1,8.592789650E0
3.068015923E0,4.620809078E0,-6.512228847E-1,8.590395927E0
3.070015923E0,4.594472885E0,-6.536170840E-1,8.568847656E0
3.072015923E0,4.594472885E0,-6.296750307E-1,8.568847656E0
3.074015923E0,4.601655483E0,-6.272808313E-1,8.564059258E0
3.076015923E0,4.606443882E0,-6.344634295E-1,8.585607529E0
3.078015923E0,4.623203278E0,-5.961562395E-1,8.588001251E0
3.080015923E0,4.644751072E0,-5.817909837E-1,8.590395927E0
3.082015923E0,4.644751072E0,-5.961562395E-1,8.602366447E0
3.084015923E0,4.639962673E0,-5.937620401E-1,8.590395927E0
3.086015923E0,4.649539471E0,-5.889736414E-1,8.597578049E0
3.088015923E0,4.697423935E0,-5.937620401E-1,8.580819130E0
3.090015923E0,4.721365929E0,-5.961562395E-1,8.566453934E0
3.092015923E0,4.771644115E0,-5.817909837E-1,8.547300339E0
3.094015923E0,4.800374508E0,-5.722141862E-1,8.554482460E0
3.096015923E0,4.824316502E0,-5.722141862E-1,8.554482460E0
3.098015923E0,4.865017891E0,-5.602431893E-1,8.556877136E0
3.100015923E0,4.865017891E0,-5.602431893E-1,8.556877136E0
3.102015923E0,4.924872875E0,-5.458779931E-1,8.532935143E0
3.104015923E0,4.955997467E0,-5.291185975E-1,8.518569946E0
3.106015923E0,4.975151062E0,-5.219359994E-1,8.499416351E0
3.108015923E0,4.979939461E0,-5.171475410E-1,8.480262756E0
3.110015923E0,4.991910458E0,-5.267243981E-1,8.477868080E0
3.112015923E0,5.003881454E0,-5.219359994E-1,8.485051155E0
3.114015923E0,5.003881454E0,-5.219359994E-1,8.492233276E0
3.116015923E0,4.975151062E0,-5.363011956E-1,8.492233276E0
3.118015923E0,4.963180065E0,-5.458779931E-1,8.492233276E0
3.120015923E0,4.948814869E0,-5.602431893E-1,8.504204750E0
3.122015923E0,4.951209068E0,-5.913678408E-1,8.508993149E0
3.124015923E0,4.948814869E0,-5.985504389E-1,8.511386871E0
3.126015923E0,4.920084476E0,-6.177040339E-1,8.508993149E0
3.128015923E0,4.932055473E0,-6.344634295E-1,8.535328865E0
3.130015923E0,4.934449673E0,-6.416460276E-1,8.559270859E0
3.132015923E0,4.896142483E0,-6.775590777E-1,8.590395927E0
3.134015923E0,4.879383087E0,-7.278373241E-1,8.614337921E0
3.136015923E0,4.872200489E0,-7.493851185E-1,8.611943245E0
3.138015923E0,4.865017891E0,-7.517793179E-1,8.561665535E0
3.140015923E0,4.836287498E0,-7.302315235E-1,8.504204750E0
3.142015923E0,4.809951305E0,-7.134721279E-1,8.480262756E0
3.144015923E0,4.740519524E0,-6.631938815E-1,8.482656479E0
3.146015923E0,4.656722069E0,-6.105214357E-1,8.532935143E0
3.148015923E0,4.616020679E0,-5.913678408E-1,8.566453934E0
3.150015923E0,4.577713490E0,-5.841852427E-1,8.633491516E0
3.152015923E0,4.565742493E0,-6.081272364E-1,8.647856712E0
3.154015923E0,4.556165695E0,-6.200982332E-1,8.614337921E0
3.156015923E0,4.572925091E0,-6.655880809E-1,8.592789650E0
3.158015923E0,4.649539471E0,-7.398083210E-1,8.590395927E0
3.160015923E0,4.649539471E0,-7.398083210E-1,8.590395927E0
3.162015923E0,4.673481941E0,-7.685387731E-1,8.595184326E0
3.164015923E0,4.697423935E0,-7.972691655E-1,8.604761124E0
3.166015923E0,4.711789131E0,-8.236053586E-1,8.623914719E0
3.168015923E0,4.733336926E0,-8.547300100E-1,8.604761124E0
3.170015923E0,4.738125324E0,-8.547300100E-1,8.595184326E0
3.172015923E0,4.735731125E0,-8.595184088E-1,8.566453934E0
3.174015923E0,4.752490520E0,-8.475474119E-1,8.554482460E0
3.176015923E0,4.769249916E0,-8.355764151E-1,8.549694061E0
3.178015923E0,4.795586109E0,-8.259995580E-1,8.532935143E0
3.180015923E0,4.824316502E0,-8.379706144E-1,8.535328865E0
3.182015923E0,4.838681698E0,-8.236053586E-1,8.537723541E0
3.184015923E0,4.853046894E0,-7.972691655E-1,8.501810074E0
3.186015923E0,4.855441093E0,-7.948749661E-1,8.480262756E0
3.188015923E0,4.867412090E0,-8.116343617E-1,8.463502884E0
3.190015923E0,4.869806290E0,-8.140285611E-1,8.487444878E0
3.192015923E0,4.869806290E0,-8.068459630E-1,8.489839554E0
3.194015923E0,4.860229492E0,-7.996633649E-1,8.480262756E0
3.196015923E0,4.855441093E0,-7.948749661E-1,8.439560890E0
3.198015923E0,4.853046894E0,-7.996633649E-1,8.422801971E0
3.200015923E0,4.855441093E0,-8.379706144E-1,8.398859978E0
3.202015923E0,4.841075897E0,-8.738836050E-1,8.389283180E0
3.204015923E0,4.836287498E0,-8.810662031E-1,8.386888504E0
3.206015923E0,4.836287498E0,-9.241618514E-1,8.403648376E0
3.208015923E0,4.848258495E0,-9.600749016E-1,8.403648376E0
3.210015923E0,4.853046894E0,-9.624691010E-1,8.406042099E0
3.212015923E0,4.869806290E0,-9.864110947E-1,8.422801971E0
3.214015923E0,4.867412090E0,-1.003170490E0,8.420407295E0
3.216015923E0,4.855441093E0,-1.019929886E0,8.408436775E0
3.218015923E0,4.845864296E0,-1.041477680E0,8.372523308E0
3.220015923E0,4.833893299E0,-1.043871999E0,8.370129585E0
3.222015923E0,4.826710701E0,-1.072602391E0,8.386888504E0
3.224015923E0,4.826710701E0,-1.084573388E0,8.441955566E0
3.226015923E0,4.831499100E0,-1.096544385E0,8.461109161E0
3.228015923E0,4.814739704E0,-1.146822572E0,8.482656479E0
3.230015923E0,4.802768707E0,-1.165976286E0,8.477868080E0
3.232015923E0,4.797980309E0,-1.170764685E0,8.480262756E0
3.234015923E0,4.774038315E0,-1.168370485E0,8.477868080E0
3.236015923E0,4.764461517E0,-1.156399369E0,8.446743965E0
3.238015923E0,4.762067318E0,-1.144428372E0,8.425195694E0
3.240015923E0,4.752490520E0,-1.130063176E0,8.403648376E0
3.242015923E0,4.776432514E0,-1.120486379E0,8.370129585E0
3.244015923E0,4.793191910E0,-1.108515382E0,8.358158112E0
3.246015923E0,4.802768707E0,-1.094150186E0,8.355764389E0
