"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.751729080E-1,-7.374141216E-1,-5.243301988E-1,9.777919769E0
2.771899130E-1,-7.469909191E-1,-5.171475410E-1,9.777919769E0
2.791741490E-1,-7.589619160E-1,-5.123591423E-1,9.777919769E0
2.811566920E-1,-7.661445141E-1,-5.315127969E-1,9.780313492E0
2.831717750E-1,-7.876923680E-1,-5.219359994E-1,9.787496567E0
2.851853190E-1,-7.924807668E-1,-5.027823448E-1,9.777919769E0
2.871690160E-1,-7.972691655E-1,-5.003881454E-1,9.782708168E0
2.891840210E-1,-7.757213712E-1,-5.075707436E-1,9.785101891E0
2.911686410E-1,-7.948749661E-1,-5.003881454E-1,9.785101891E0
2.931809550E-1,-7.948749661E-1,-5.123591423E-1,9.780313492E0
2.951650370E-1,-8.307880163E-1,-5.219359994E-1,9.785101891E0
2.971791190E-1,-8.236053586E-1,-5.243301988E-1,9.804255486E0
2.991625860E-1,-8.188169599E-1,-5.243301988E-1,9.809044838E0
3.011766680E-1,-8.307880163E-1,-5.267243981E-1,9.809044838E0
3.031603660E-1,-8.499416113E-1,-5.219359994E-1,9.799467087E0
3.051749090E-1,-8.523358107E-1,-5.171475410E-1,9.804255486E0
3.071588370E-1,-8.475474119E-1,-5.123591423E-1,9.816226959E0
3.091721510E-1,-8.643068075E-1,-5.171475410E-1,9.830592155E0
3.111877710E-1,-8.595184088E-1,-5.195417404E-1,9.837775230E0
3.131714690E-1,-8.619126081E-1,-5.123591423E-1,9.849745750E0
3.151843970E-1,-8.475474119E-1,-5.267243981E-1,9.847352028E0
3.171680950E-1,-8.523358107E-1,-5.434837937E-1,9.840168953E0
3.191816390E-1,-8.619126081E-1,-5.386953950E-1,9.847352028E0
3.211654130E-1,-8.690952063E-1,-5.410895944E-1,9.854534149E0
3.231801100E-1,-8.643068075E-1,-5.410895944E-1,9.849745750E0
3.251635000E-1,-8.499416113E-1,-5.530605912E-1,9.830592155E0
3.271774290E-1,-8.379706144E-1,-5.530605912E-1,9.832986832E0
3.291607420E-1,-8.307880163E-1,-5.363011956E-1,9.835380554E0
3.311765160E-1,-8.212111592E-1,-5.219359994E-1,9.830592155E0
3.331601360E-1,-8.212111592E-1,-5.339069963E-1,9.825803757E0
3.351733730E-1,-8.379706144E-1,-5.650315881E-1,9.828198433E0
3.371872240E-1,-8.188169599E-1,-5.530605912E-1,9.828198433E0
3.391712290E-1,-8.140285611E-1,-5.482721925E-1,9.832986832E0
3.411853880E-1,-8.068459630E-1,-5.578489900E-1,9.832986832E0
3.431690860E-1,-8.068459630E-1,-5.530605912E-1,9.823410034E0
3.451835530E-1,-8.092401624E-1,-5.434837937E-1,9.821015358E0
3.471681730E-1,-7.852981687E-1,-5.698199868E-1,9.816226959E0
3.491808710E-1,-7.948749661E-1,-5.841852427E-1,9.816226959E0
3.511660300E-1,-7.972691655E-1,-5.865794420E-1,9.806650162E0
3.531790350E-1,-7.996633649E-1,-5.865794420E-1,9.799467087E0
3.551627330E-1,-7.876923680E-1,-5.865794420E-1,9.801861763E0
3.571768150E-1,-7.733271718E-1,-5.841852427E-1,9.806650162E0
3.591602050E-1,-7.709329724E-1,-5.602431893E-1,9.782708168E0
3.611750560E-1,-7.685387731E-1,-5.602431893E-1,9.775525093E0
3.631583690E-1,-7.661445141E-1,-5.626373887E-1,9.770736694E0
3.651728360E-1,-7.613561153E-1,-5.363011956E-1,9.773131371E0
3.671858420E-1,-7.589619160E-1,-5.458779931E-1,9.765948296E0
3.691707700E-1,-7.517793179E-1,-5.219359994E-1,9.758766174E0
3.711857750E-1,-7.422025204E-1,-5.386953950E-1,9.775525093E0
3.731676260E-1,-7.422025204E-1,-5.506663918E-1,9.773131371E0
3.751821690E-1,-7.589619160E-1,-5.315127969E-1,9.765948296E0
3.771661750E-1,-7.493851185E-1,-5.267243981E-1,9.758766174E0
3.791794110E-1,-7.469909191E-1,-5.267243981E-1,9.761159897E0
3.811636470E-1,-7.326257229E-1,-5.386953950E-1,9.758766174E0
3.831769600E-1,-7.206547260E-1,-5.339069963E-1,9.763554573E0
3.851615810E-1,-7.230489254E-1,-5.363011956E-1,9.768342972E0
3.871760480E-1,-7.326257229E-1,-5.315127969E-1,9.773131371E0
3.891599760E-1,-7.422025204E-1,-5.147533417E-1,9.777919769E0
3.911739040E-1,-7.541735172E-1,-5.147533417E-1,9.785101891E0
3.931569100E-1,-7.661445141E-1,-5.195417404E-1,9.782708168E0
3.951708380E-1,-7.733271718E-1,-5.243301988E-1,9.782708168E0
3.971849200E-1,-7.757213712E-1,-5.147533417E-1,9.768342972E0
3.991693090E-1,-7.876923680E-1,-5.171475410E-1,9.775525093E0
4.011830850E-1,-7.948749661E-1,-5.195417404E-1,9.768342972E0
4.031665510E-1,-8.164227605E-1,-5.123591423E-1,9.775525093E0
4.051813250E-1,-8.283938169E-1,-5.315127969E-1,9.797073364E0
4.071637920E-1,-8.259995580E-1,-5.363011956E-1,9.816226959E0
4.091785660E-1,-8.212111592E-1,-5.315127969E-1,9.818621635E0
4.111638030E-1,-8.331822157E-1,-5.267243981E-1,9.813833237E0
4.131770390E-1,-8.355764151E-1,-5.195417404E-1,9.818621635E0
4.151598130E-1,-8.188169599E-1,-5.363011956E-1,9.813833237E0
4.171739720E-1,-8.044517636E-1,-5.458779931E-1,9.821015358E0
4.191582090E-1,-8.020575643E-1,-5.482721925E-1,9.816226959E0
4.211724440E-1,-8.140285611E-1,-5.602431893E-1,9.823410034E0
4.231862190E-1,-8.164227605E-1,-5.482721925E-1,9.825803757E0
