"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.010315415E1,1.235408068E0,8.695740700E0,3.742137194E0
1.010513846E1,1.240196466E0,8.700529099E0,3.739742994E0
1.010715238E1,1.244984865E0,8.683769226E0,3.742137194E0
1.010913599E1,1.261744261E0,8.688557625E0,3.734954596E0
1.011115083E1,1.273715258E0,8.681375504E0,3.739742994E0
1.011313444E1,1.288080573E0,8.659827232E0,3.749319792E0
1.011514836E1,1.297657371E0,8.652645111E0,3.756502390E0
1.011713113E1,1.319205165E0,8.633491516E0,3.725377798E0
1.011914551E1,1.352723956E0,8.616731644E0,3.739742994E0
1.012116089E1,1.362300754E0,8.595184326E0,3.742137194E0
1.012314365E1,1.379060149E0,8.568847656E0,3.763684988E0
1.012515727E1,1.426944256E0,8.547300339E0,3.770867586E0
1.012714157E1,1.450886250E0,8.535328865E0,3.766079187E0
1.012915510E1,1.470039845E0,8.528146744E0,3.763684988E0
1.013113841E1,1.501164436E0,8.508993149E0,3.768473387E0
1.013315318E1,1.525106430E0,8.511386871E0,3.756502390E0
1.013513756E1,1.570596337E0,8.508993149E0,3.754108191E0
1.013715232E1,1.616086125E0,8.499416351E0,3.754108191E0
1.013913478E1,1.637633920E0,8.485051155E0,3.746925592E0
1.014114985E1,1.678335428E0,8.463502884E0,3.742137194E0
1.014313316E1,1.711854219E0,8.461109161E0,3.739742994E0
1.014514731E1,1.747767210E0,8.470685959E0,3.732560396E0
1.014716092E1,1.762132406E0,8.456320763E0,3.718195200E0
1.014914461E1,1.778891921E0,8.463502884E0,3.713406801E0
1.015115999E1,1.805228114E0,8.468291283E0,3.715801001E0
1.015314214E1,1.812410712E0,8.470685959E0,3.701435804E0
1.015515629E1,1.817199111E0,8.475474358E0,3.691859007E0
1.015713998E1,1.853112102E0,8.473079681E0,3.667917013E0
1.015915444E1,1.872265697E0,8.473079681E0,3.665522814E0
1.016113897E1,1.886630893E0,8.463502884E0,3.655946016E0
1.016315281E1,1.891419291E0,8.456320763E0,3.660734415E0
1.016513596E1,1.891419291E0,8.461109161E0,3.648763418E0
1.016715065E1,1.893813491E0,8.456320763E0,3.641580820E0
1.016913380E1,1.893813491E0,8.475474358E0,3.632004023E0
1.017114695E1,1.903390408E0,8.477868080E0,3.620033026E0
1.017316210E1,1.910573006E0,8.477868080E0,3.620033026E0
1.017514610E1,1.898601890E0,8.470685959E0,3.624821424E0
1.017715925E1,1.884236693E0,8.465897560E0,3.620033026E0
1.017914363E1,1.874659896E0,8.492233276E0,3.620033026E0
1.018115863E1,1.869871497E0,8.492233276E0,3.610456228E0
1.018314109E1,1.857900500E0,8.497021675E0,3.610456228E0
1.018515524E1,1.853112102E0,8.494627953E0,3.608062029E0
1.018713869E1,1.836352706E0,8.492233276E0,3.608062029E0
1.018915338E1,1.810016513E0,8.497021675E0,3.603273630E0
1.019113715E1,1.795651317E0,8.499416351E0,3.608062029E0
1.019315038E1,1.778891921E0,8.523358345E0,3.596091032E0
1.019513460E1,1.771709204E0,8.540117264E0,3.588908434E0
1.019714822E1,1.757344007E0,8.549694061E0,3.591302633E0
1.019913275E1,1.742978811E0,8.568847656E0,3.603273630E0
1.020114721E1,1.738190413E0,8.585607529E0,3.612850428E0
1.020316113E1,1.745373011E0,8.599972725E0,3.622427225E0
1.020514451E1,1.742978811E0,8.609549522E0,3.622427225E0
1.020715827E1,1.726219416E0,8.616731644E0,3.622427225E0
1.020914196E1,1.716642618E0,8.643068314E0,3.627215624E0
1.021115580E1,1.707065821E0,8.659827232E0,3.627215624E0
