"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.543098400E-1,-3.237585723E-2,2.932153270E-2,0.000000000E0
3.563243820E-1,-3.359758854E-2,3.298672289E-2,-1.221730490E-3
3.583076930E-1,-3.237585723E-2,4.092797264E-2,-6.108652451E-4
3.603224650E-1,-3.176499158E-2,4.214970022E-2,1.832595794E-3
3.623064680E-1,-3.359758854E-2,5.009094998E-2,1.221730490E-3
3.643197780E-1,-3.420845419E-2,5.375614017E-2,1.832595794E-3
3.663342430E-1,-3.420845419E-2,5.497787148E-2,2.443460980E-3
3.683172460E-1,-3.298672289E-2,6.291911751E-2,5.497787148E-3
3.703317870E-1,-3.298672289E-2,6.414084882E-2,5.497787148E-3
3.723148670E-1,-3.237585723E-2,6.841690838E-2,6.719517522E-3
3.743296400E-1,-3.237585723E-2,7.147123665E-2,6.108652335E-3
3.763129500E-1,-2.993239649E-2,7.024950534E-2,7.941247895E-3
3.783274150E-1,-2.871066704E-2,7.269296050E-2,7.330383174E-3
3.803124180E-1,-2.932153270E-2,7.513642311E-2,9.773843922E-3
3.823253440E-1,-2.932153270E-2,7.452555746E-2,1.221730467E-2
3.843083470E-1,-2.871066704E-2,7.513642311E-2,9.162978269E-3
3.863231960E-1,-2.748893574E-2,7.147123665E-2,1.038470957E-2
3.883062760E-1,-2.687807009E-2,7.024950534E-2,1.160643995E-2
3.903210480E-1,-2.687807009E-2,6.780604273E-2,1.221730467E-2
3.923043590E-1,-2.687807009E-2,6.597344577E-2,1.282817032E-2
3.943182850E-1,-2.687807009E-2,6.414084882E-2,1.038470957E-2
3.963327500E-1,-2.504547499E-2,5.742133409E-2,1.160643995E-2
3.983157530E-1,-2.504547499E-2,5.253441259E-2,9.162978269E-3
4.003318330E-1,-2.687807009E-2,5.131268129E-2,1.038470957E-2
4.023148360E-1,-2.504547499E-2,4.276056588E-2,1.099557430E-2
4.043283770E-1,-2.565634064E-2,3.909537569E-2,1.099557430E-2
4.063112260E-1,-2.382374369E-2,3.176499158E-2,1.221730467E-2
4.083265370E-1,-2.443460934E-2,2.504547499E-2,8.552113548E-3
4.103100010E-1,-2.504547499E-2,2.199114859E-2,1.038470957E-2
4.123234660E-1,-2.504547499E-2,1.466076635E-2,1.221730467E-2
4.143074690E-1,-2.382374369E-2,9.773843922E-3,1.160643995E-2
4.163213180E-1,-2.321287990E-2,4.276056774E-3,9.773843922E-3
4.183057060E-1,-2.321287990E-2,-1.221730490E-3,9.773843922E-3
4.203207860E-1,-2.138028294E-2,-8.552113548E-3,1.099557430E-2
4.223031730E-1,-2.138028294E-2,-1.099557430E-2,1.099557430E-2
4.243170220E-1,-2.076941915E-2,-1.466076635E-2,9.162978269E-3
4.263321020E-1,-2.076941915E-2,-2.199114859E-2,7.941247895E-3
4.283148750E-1,-2.199114859E-2,-2.565634064E-2,1.038470957E-2
4.303290310E-1,-1.954768784E-2,-2.932153270E-2,9.773843922E-3
4.323136500E-1,-1.954768784E-2,-3.115412779E-2,7.941247895E-3
4.343271910E-1,-1.771509275E-2,-3.481931984E-2,6.108652335E-3
4.363108870E-1,-1.771509275E-2,-3.848451003E-2,7.330383174E-3
4.383253510E-1,-1.466076635E-2,-3.909537569E-2,6.108652335E-3
4.403094310E-1,-1.343903504E-2,-4.031710699E-2,5.497787148E-3
4.423225880E-1,-1.038470957E-2,-4.031710699E-2,5.497787148E-3
4.443078220E-1,-9.773843922E-3,-3.787364438E-2,4.886921961E-3
4.463205170E-1,-1.160643995E-2,-3.604105115E-2,3.665191587E-3
4.483041350E-1,-8.552113548E-3,-3.543018550E-2,3.054326167E-3
4.503180620E-1,-8.552113548E-3,-3.298672289E-2,1.221730490E-3
4.523322190E-1,-9.773843922E-3,-2.932153270E-2,1.221730490E-3
4.543158380E-1,-9.162978269E-3,-2.504547499E-2,0.000000000E0
4.563303790E-1,-9.162978269E-3,-2.076941915E-2,-1.221730490E-3
4.583146130E-1,-6.108652335E-3,-1.588249579E-2,0.000000000E0
4.603288470E-1,-6.108652335E-3,-7.941247895E-3,1.832595794E-3
4.623118500E-1,-7.941247895E-3,-3.665191587E-3,-1.221730490E-3
4.643253910E-1,-6.108652335E-3,4.276056774E-3,1.221730490E-3
4.663097790E-1,-6.108652335E-3,7.330383174E-3,-1.221730490E-3
4.683235510E-1,-5.497787148E-3,1.282817032E-2,3.665191587E-3
4.703076310E-1,-6.719517522E-3,2.015855350E-2,3.054326167E-3
4.723214800E-1,-5.497787148E-3,2.443460934E-2,2.443460980E-3
4.743057140E-1,-3.665191587E-3,2.871066704E-2,5.497787148E-3
4.763199480E-1,-6.108652335E-3,3.543018550E-2,5.497787148E-3
4.783331050E-1,-6.108652335E-3,3.787364438E-2,7.330383174E-3
4.803184150E-1,-3.665191587E-3,4.520402849E-2,7.941247895E-3
4.823315720E-1,-5.497787148E-3,4.825835302E-2,1.038470957E-2
4.843158830E-1,-4.886921961E-3,4.764748737E-2,1.099557430E-2
4.863300400E-1,-3.665191587E-3,5.192354694E-2,1.282817032E-2
4.883131200E-1,-1.832595794E-3,5.436700583E-2,1.771509275E-2
4.903266610E-1,-2.443460980E-3,5.558873713E-2,1.710422710E-2
4.923110490E-1,-2.443460980E-3,5.558873713E-2,1.893682219E-2
4.943245130E-1,-6.108652451E-4,5.375614017E-2,2.138028294E-2
4.963088240E-1,-2.443460980E-3,5.375614017E-2,2.382374369E-2
4.983226730E-1,0.000000000E0,4.886921868E-2,2.504547499E-2
5.003075990E-1,-1.221730490E-3,4.642575979E-2,2.932153270E-2
5.023206020E-1,1.221730490E-3,4.031710699E-2,3.054326214E-2
5.043036050E-1,2.443460980E-3,3.237585723E-2,3.176499158E-2
5.063190700E-1,1.832595794E-3,2.809980139E-2,3.359758854E-2
5.083325340E-1,4.886921961E-3,1.771509275E-2,4.031710699E-2
5.103150760E-1,7.941247895E-3,7.941247895E-3,4.153883830E-2
5.123303860E-1,7.941247895E-3,-6.108652451E-4,4.092797264E-2
5.143137740E-1,1.221730467E-2,-1.527163107E-2,4.214970022E-2
5.163277000E-1,1.649336144E-2,-3.054326214E-2,4.459316283E-2
5.183113950E-1,1.710422710E-2,-3.726277873E-2,4.581489414E-2
5.203270140E-1,2.076941915E-2,-5.497787148E-2,4.520402849E-2
5.223092480E-1,2.260201424E-2,-7.024950534E-2,4.764748737E-2
5.243242510E-1,2.565634064E-2,-8.002334833E-2,4.886921868E-2
5.263070230E-1,2.809980139E-2,-9.773843735E-2,4.825835302E-2
5.283214870E-1,3.176499158E-2,-1.160643995E-1,4.642575979E-2
5.303049520E-1,3.543018550E-2,-1.264491081E-1,4.642575979E-2
5.323190320E-1,3.909537569E-2,-1.429424733E-1,4.764748737E-2
5.343341120E-1,3.909537569E-2,-1.521054506E-1,4.703662544E-2
5.363163460E-1,4.398229718E-2,-1.710422635E-1,4.886921868E-2
5.383313490E-1,4.703662544E-2,-1.899790913E-1,4.703662544E-2
5.403162750E-1,5.070181563E-2,-1.985312104E-1,4.703662544E-2
5.423292780E-1,5.558873713E-2,-2.131919712E-1,5.009094998E-2
5.443092040E-1,5.864306539E-2,-2.296853364E-1,4.886921868E-2
5.463273610E-1,5.864306539E-2,-2.364048511E-1,4.825835302E-2
5.483105170E-1,5.925392732E-2,-2.480112910E-1,5.436700583E-2
5.503245980E-1,6.169738993E-2,-2.590068579E-1,5.375614017E-2
5.523082930E-1,6.108652428E-2,-2.651155293E-1,5.436700583E-2
