"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.908238270E1,5.334281445E0,-8.372523308E0,5.161899090E0
1.908436632E1,5.353435040E0,-8.422801971E0,5.216965675E0
1.908637986E1,5.365406036E0,-8.439560890E0,5.245696068E0
1.908836394E1,5.382165432E0,-8.446743965E0,5.291185856E0
1.909037802E1,5.396530628E0,-8.473079681E0,5.312733650E0
1.909239187E1,5.394136429E0,-8.475474358E0,5.305551052E0
1.909437618E1,5.351040840E0,-8.475474358E0,5.279214859E0
1.909639042E1,5.293580055E0,-8.470685959E0,5.226542473E0
1.909837373E1,5.260061264E0,-8.465897560E0,5.200206280E0
1.910038788E1,5.161899090E0,-8.456320763E0,5.161899090E0
1.910237135E1,5.058948040E0,-8.446743965E0,5.123591423E0
1.910438551E1,5.011064053E0,-8.444349289E0,5.104437828E0
1.910636882E1,4.910507679E0,-8.415618896E0,5.051765442E0
1.910838274E1,4.855441093E0,-8.410830498E0,4.972756863E0
1.911036736E1,4.747702122E0,-8.394071579E0,4.920084476E0
1.911238090E1,4.635174274E0,-8.331821442E0,4.833893299E0
1.911436644E1,4.572925091E0,-8.307879448E0,4.793191910E0
1.911637906E1,4.474762917E0,-8.228871346E0,4.709394932E0
1.911839322E1,4.355052948E0,-8.161833763E0,4.644751072E0
1.912037653E1,4.304774761E0,-8.125920296E0,4.611232281E0
1.912239107E1,4.206612587E0,-8.027758598E0,4.544194698E0
1.912437469E1,4.146757126E0,-7.912836552E0,4.489128113E0
1.912638854E1,4.110844135E0,-7.841010571E0,4.472368717E0
1.912837224E1,4.050989151E0,-7.735665798E0,4.450820923E0
1.913038639E1,4.024652958E0,-7.656657219E0,4.429273129E0
1.913237040E1,4.027047157E0,-7.611167431E0,4.424484730E0
1.913438548E1,4.027047157E0,-7.524975777E0,4.419696331E0
1.913636825E1,4.053383350E0,-7.453149796E0,4.419696331E0
1.913838248E1,4.074931145E0,-7.433996201E0,4.426878929E0
1.914036610E1,4.144362926E0,-7.419631004E0,4.448426723E0
1.914237964E1,4.180276394E0,-7.436390400E0,4.501099110E0
1.914436311E1,4.266467571E0,-7.474697590E0,4.517858505E0
1.914637788E1,4.371812344E0,-7.524975777E0,4.529829502E0
1.914839258E1,4.419696331E0,-7.553706169E0,4.537012100E0
1.915037542E1,4.529829502E0,-7.668628216E0,4.539406300E0
1.915238989E1,4.642356873E0,-7.783549786E0,4.541800499E0
1.915437512E1,4.707000732E0,-7.836222172E0,4.546588898E0
1.915638774E1,4.817133904E0,-7.951143742E0,4.541800499E0
1.915837228E1,4.920084476E0,-8.037335396E0,4.548983097E0
1.916038498E1,4.967968464E0,-8.085219383E0,4.556165695E0
1.916237014E1,5.056553841E0,-8.161833763E0,4.572925091E0
1.916438345E1,5.137956619E0,-8.219294548E0,4.565742493E0
1.916636683E1,5.178658485E0,-8.250418663E0,4.572925091E0
1.916838099E1,5.257667065E0,-8.283937454E0,4.572925091E0
1.917036469E1,5.327098846E0,-8.324639320E0,4.584896088E0
1.917237877E1,5.353435040E0,-8.327033043E0,4.594472885E0
1.917439423E1,5.398924828E0,-8.286332130E0,4.604049683E0
1.917637700E1,5.437232018E0,-8.274360657E0,4.620809078E0
1.917839085E1,5.480327606E0,-8.267178535E0,4.642356873E0
1.918037540E1,5.530605793E0,-8.233659744E0,4.637568474E0
1.918238840E1,5.554547787E0,-8.216899872E0,4.632780075E0
1.918437232E1,5.583278179E0,-8.188169479E0,4.618414879E0
1.918638625E1,5.604825974E0,-8.176198959E0,4.584896088E0
1.918836987E1,5.614402771E0,-8.161833763E0,4.568136692E0
1.919038464E1,5.626373768E0,-8.137891769E0,4.532223701E0
1.919236772E1,5.631162167E0,-8.106766701E0,4.498704910E0
1.919438342E1,5.626373768E0,-8.097189903E0,4.481945515E0
1.919636596E1,5.583278179E0,-8.082824707E0,4.417302132E0
1.919838012E1,5.532999992E0,-8.066065788E0,4.359841347E0
1.920036312E1,5.497087002E0,-8.063671112E0,4.345476151E0
1.920237704E1,5.422866821E0,-8.078036308E0,4.285621166E0
1.920439212E1,5.346252441E0,-8.070854187E0,4.244919777E0
1.920637582E1,5.312733650E0,-8.066065788E0,4.225766182E0
1.920838990E1,5.209783077E0,-8.056488991E0,4.201824188E0
1.921037360E1,5.159504890E0,-8.056488991E0,4.185064793E0
1.921238744E1,5.063736439E0,-8.032546997E0,4.161122322E0
1.921437152E1,4.939238071E0,-8.018181801E0,4.146757126E0
1.921638530E1,4.891354084E0,-8.006210327E0,4.134786129E0
1.921836961E1,4.800374508E0,-7.975085735E0,4.115632534E0
1.922038407E1,4.714183331E0,-7.946355343E0,4.074931145E0
1.922236692E1,4.668693542E0,-7.929595947E0,4.062960148E0
1.922438046E1,4.582501888E0,-7.924807549E0,4.022258759E0
1.922636447E1,4.501099110E0,-7.915230751E0,3.998316765E0
1.922837893E1,4.469974518E0,-7.912836552E0,3.993528366E0
1.923039309E1,4.398148537E0,-7.896077156E0,3.969586372E0
1.923237648E1,4.323928356E0,-7.893682957E0,3.957615376E0
1.923439271E1,4.292803764E0,-7.905653954E0,3.936067581E0
1.923637425E1,4.266467571E0,-7.927201748E0,3.916913986E0
1.923838818E1,4.230554581E0,-7.975085735E0,3.914519787E0
1.924037180E1,4.218583584E0,-8.020575523E0,3.904942989E0
1.924238665E1,4.189853191E0,-8.106766701E0,3.916913986E0
1.924436911E1,4.180276394E0,-8.178592682E0,3.926490784E0
1.924638381E1,4.194641590E0,-8.303091049E0,3.979163170E0
1.924836812E1,4.213795185E0,-8.418013573E0,3.993528366E0
1.925038204E1,4.240131378E0,-8.475474358E0,4.003105164E0
1.925236605E1,4.299986362E0,-8.590395927E0,4.029441357E0
1.925438113E1,4.343081951E0,-8.724471092E0,4.043806553E0
1.925636382E1,4.376600742E0,-8.777143478E0,4.050989151E0
1.925837744E1,4.443638325E0,-8.887276649E0,4.036623955E0
1.926039283E1,4.501099110E0,-8.983044624E0,4.046200752E0
1.926237560E1,4.539406300E0,-9.016563416E0,4.062960148E0
1.926438945E1,4.637568474E0,-9.088389397E0,4.089296341E0
1.926637307E1,4.726154327E0,-9.133879662E0,4.089296341E0
1.926838784E1,4.766855717E0,-9.155426979E0,4.077325344E0
1.927037154E1,4.855441093E0,-9.167398453E0,4.019864559E0
1.927238538E1,4.903325081E0,-9.169792175E0,3.943250179E0
1.927437008E1,4.996698856E0,-9.165003777E0,3.909731388E0
1.927638301E1,5.054159641E0,-9.153033257E0,3.854664803E0
1.927836732E1,5.078101635E0,-9.148244858E0,3.825934410E0
1.928037778E1,5.123591423E0,-9.117119789E0,3.775655985E0
1.928239432E1,5.157110691E0,-9.095572472E0,3.746925592E0
1.928437863E1,5.164293289E0,-9.081207275E0,3.737348795E0
1.928639318E1,5.183446884E0,-9.035717010E0,3.732560396E0
1.928837687E1,5.193023682E0,-9.026140213E0,3.732560396E0
1.929039072E1,5.193023682E0,-9.016563416E0,3.718195200E0
1.929237372E1,5.176264286E0,-9.002198219E0,3.703830004E0
1.929438911E1,5.121197224E0,-8.983044624E0,3.663128614E0
1.929637158E1,5.099649429E0,-8.980650902E0,3.655946016E0
