"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.290699610E-1,-4.979939461E-1,-6.030993938E0,7.855375767E0
3.310844160E-1,-5.195417404E-1,-6.011840343E0,7.852981567E0
3.330666410E-1,-5.410895944E-1,-6.002263546E0,7.848193169E0
3.350807880E-1,-5.817909837E-1,-5.966350555E0,7.841010571E0
3.370650130E-1,-6.200982332E-1,-5.947196960E0,7.819462776E0
3.390786210E-1,-6.464344859E-1,-5.935225964E0,7.809885979E0
3.410923840E-1,-6.919242740E-1,-5.940014362E0,7.807491779E0
3.430761480E-1,-7.374141216E-1,-5.940014362E0,7.805097580E0
3.450908330E-1,-7.517793179E-1,-5.935225964E0,7.797914982E0
3.470748270E-1,-7.685387731E-1,-5.918466568E0,7.795520782E0
3.490883590E-1,-7.876923680E-1,-5.904101372E0,7.781155586E0
3.510717370E-1,-8.044517636E-1,-5.899312973E0,7.773972988E0
3.530871920E-1,-7.924807668E-1,-5.908889771E0,7.762001991E0
3.550695710E-1,-7.829039693E-1,-5.896918774E0,7.764396191E0
3.570841030E-1,-7.924807668E-1,-5.889736176E0,7.764396191E0
3.590674040E-1,-7.876923680E-1,-5.896918774E0,7.771578789E0
3.610810130E-1,-7.709329724E-1,-5.896918774E0,7.778761387E0
3.630646990E-1,-7.733271718E-1,-5.899312973E0,7.783549786E0
3.650794620E-1,-7.757213712E-1,-5.896918774E0,7.778761387E0
3.670944550E-1,-7.589619160E-1,-5.908889771E0,7.778761387E0
3.690781410E-1,-7.398083210E-1,-5.935225964E0,7.781155586E0
3.710925970E-1,-6.991068721E-1,-5.961562157E0,7.769184589E0
3.730750520E-1,-6.847416759E-1,-5.963956356E0,7.759607792E0
3.750895070E-1,-6.727706790E-1,-5.983109951E0,7.757213593E0
3.770729620E-1,-6.488286853E-1,-6.011840343E0,7.735665798E0
3.790880330E-1,-6.368576288E-1,-6.019022942E0,7.718906403E0
3.810707190E-1,-6.200982332E-1,-6.040570736E0,7.697358608E0
3.830849430E-1,-6.129156351E-1,-6.059724331E0,7.692570210E0
3.850686290E-1,-5.937620401E-1,-6.071695328E0,7.685387611E0
3.870833150E-1,-6.057330370E-1,-6.086060524E0,7.671022415E0
3.890658470E-1,-6.033388376E-1,-6.112396717E0,7.654263020E0
3.910827640E-1,-5.865794420E-1,-6.126761913E0,7.651868820E0
3.930649120E-1,-5.865794420E-1,-6.136339188E0,7.623138428E0
3.950778280E-1,-5.841852427E-1,-6.136339188E0,7.613561630E0
3.970928990E-1,-5.841852427E-1,-6.133944988E0,7.594407558E0
3.990759690E-1,-5.770025849E-1,-6.119579315E0,7.565677166E0
4.010900400E-1,-5.674257874E-1,-6.117185116E0,7.558494568E0
4.030741100E-1,-5.386953950E-1,-6.114790916E0,7.553706169E0
4.050873340E-1,-5.243301988E-1,-6.098031521E0,7.539340973E0
4.070715590E-1,-5.099649429E-1,-6.081272125E0,7.532158375E0
4.090873220E-1,-4.596867263E-1,-6.062118530E0,7.489062786E0
4.110703150E-1,-4.165911078E-1,-6.045359135E0,7.489062786E0
4.130841550E-1,-3.950432837E-1,-6.038176537E0,7.489062786E0
4.150678410E-1,-3.519476354E-1,-6.016628742E0,7.474697590E0
4.170817580E-1,-3.064578176E-1,-6.002263546E0,7.460332394E0
4.190642130E-1,-2.801215947E-1,-5.983109951E0,7.460332394E0
4.210795140E-1,-2.394201756E-1,-5.961562157E0,7.445967197E0
4.230937390E-1,-2.250549644E-1,-5.911283970E0,7.419631004E0
4.250771170E-1,-2.082955539E-1,-5.882553577E0,7.410054207E0
4.270906490E-1,-2.250549644E-1,-5.817910194E0,7.417236805E0
4.290740280E-1,-2.370259613E-1,-5.798756599E0,7.438784599E0
4.310890210E-1,-2.920926213E-1,-5.777208805E0,7.503427982E0
4.330724760E-1,-3.591302633E-1,-5.743690014E0,7.568071365E0
4.350874700E-1,-3.974374831E-1,-5.734113216E0,7.589619160E0
4.370706170E-1,-4.548983276E-1,-5.722142220E0,7.635109425E0
4.390840730E-1,-5.051765442E-1,-5.729324818E0,7.663839817E0
4.410681430E-1,-5.626373887E-1,-5.722142220E0,7.682993412E0
4.430825210E-1,-6.416460276E-1,-5.734113216E0,7.742848396E0
4.450656690E-1,-6.943184733E-1,-5.758055210E0,7.833827972E0
4.470798170E-1,-7.230489254E-1,-5.772420406E0,7.876923561E0
4.490641170E-1,-7.781155705E-1,-5.793968201E0,7.910442352E0
4.510788810E-1,-8.164227605E-1,-5.801150799E0,7.912836552E0
4.530914120E-1,-8.355764151E-1,-5.815515995E0,7.908048153E0
4.550757140E-1,-8.619126081E-1,-5.844246387E0,7.905653954E0
4.570890160E-1,-8.786720037E-1,-5.865794182E0,7.910442352E0
4.590730090E-1,-8.930372596E-1,-5.865794182E0,7.963114738E0
4.610871560E-1,-9.097966552E-1,-5.875370979E0,7.984662533E0
4.630713810E-1,-9.169792533E-1,-5.872976780E0,7.989450932E0
4.650855280E-1,-9.121908545E-1,-5.875370979E0,7.984662533E0
4.670692140E-1,-9.169792533E-1,-5.882553577E0,7.999027729E0
4.690830550E-1,-9.121908545E-1,-5.889736176E0,7.991845131E0
4.710688940E-1,-8.858546019E-1,-5.894524574E0,7.982268333E0
4.730815800E-1,-8.690952063E-1,-5.901707172E0,7.948749542E0
4.750643420E-1,-8.619126081E-1,-5.904101372E0,7.927201748E0
4.770774900E-1,-8.499416113E-1,-5.935225964E0,7.905653954E0
4.790937920E-1,-8.451532125E-1,-5.947196960E0,7.874529362E0
4.810762460E-1,-8.403648138E-1,-5.956773758E0,7.848193169E0
4.830900860E-1,-8.331822157E-1,-5.975927353E0,7.807491779E0
4.850743880E-1,-8.020575643E-1,-5.990292549E0,7.785943985E0
4.870886120E-1,-7.900865674E-1,-5.987898350E0,7.771578789E0
4.890726060E-1,-7.996633649E-1,-5.987898350E0,7.723694801E0
4.910872910E-1,-8.044517636E-1,-5.995080948E0,7.682993412E0
4.930704390E-1,-7.996633649E-1,-5.997475147E0,7.608773232E0
